crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words,hour,month,year,day_of_week,severity,road_user_type
47,2018-06-03 18:14:00,2018-06-03,-1.2693285,36.805776,1,0,0,0,0,18,6,2018,Sunday,Non-Fatal,Other
48,2018-06-03 20:14:00,2018-06-03,-1.364719,36.911405,1,0,0,0,0,20,6,2018,Sunday,Non-Fatal,Other
49,2018-06-03 22:15:00,2018-06-03,-1.097772,36.627076,1,0,0,0,0,22,6,2018,Sunday,Non-Fatal,Other
50,2018-06-04 01:54:00,2018-06-04,-1.355691,36.657324,1,0,0,0,0,1,6,2018,Monday,Non-Fatal,Other
51,2018-06-04 01:55:00,2018-06-04,-1.217267,36.8929095,1,0,0,0,0,1,6,2018,Monday,Non-Fatal,Other
52,2018-06-04 05:45:00,2018-06-04,-1.396243,36.745543,1,0,0,0,0,5,6,2018,Monday,Non-Fatal,Other
53,2018-06-04 06:54:00,2018-06-04,-1.29374,36.795907,1,0,0,0,1,6,6,2018,Monday,Non-Fatal,Motorcycle
54,2018-06-04 11:32:00,2018-06-04,-1.2612255,36.8739765,1,0,0,1,0,11,6,2018,Monday,Non-Fatal,Matatu
55,2018-06-04 12:23:00,2018-06-04,-1.148514,36.961087,1,0,0,0,0,12,6,2018,Monday,Non-Fatal,Other
56,2018-06-04 14:29:00,2018-06-04,-1.278919,36.784299,1,0,0,0,0,14,6,2018,Monday,Non-Fatal,Other
57,2018-06-04 15:23:00,2018-06-04,-1.12422,37.003608,1,0,0,0,0,15,6,2018,Monday,Non-Fatal,Other
58,2018-06-04 17:45:00,2018-06-04,-1.266667,36.834423,1,0,0,0,0,17,6,2018,Monday,Non-Fatal,Other
59,2018-06-05 07:36:00,2018-06-05,-1.324801,36.8481885,1,0,0,0,0,7,6,2018,Tuesday,Non-Fatal,Other
60,2018-06-05 11:50:00,2018-06-05,-1.153175,36.961002,1,0,0,0,0,11,6,2018,Tuesday,Non-Fatal,Other
61,2018-06-05 15:26:00,2018-06-05,-1.3249405,36.848489,1,0,0,0,0,15,6,2018,Tuesday,Non-Fatal,Other
62,2018-06-05 17:06:00,2018-06-05,-1.280817,36.816967,1,0,0,0,0,17,6,2018,Tuesday,Non-Fatal,Other
63,2018-06-05 18:59:00,2018-06-05,-1.297165,36.875237,1,0,0,0,0,18,6,2018,Tuesday,Non-Fatal,Other
64,2018-06-05 19:13:00,2018-06-05,-1.210473,36.7894545,1,0,0,0,0,19,6,2018,Tuesday,Non-Fatal,Other
65,2018-06-05 20:23:00,2018-06-05,-1.245244,36.7695612,1,0,0,0,0,20,6,2018,Tuesday,Non-Fatal,Other
66,2018-06-05 21:26:00,2018-06-05,-1.287058,36.836512,1,0,0,0,0,21,6,2018,Tuesday,Non-Fatal,Other
67,2018-06-05 23:10:00,2018-06-05,-1.181702,36.9373895,1,1,0,0,0,23,6,2018,Tuesday,Fatal,Other
68,2018-06-06 03:33:00,2018-06-06,-1.2631,36.979394,1,0,0,0,0,3,6,2018,Wednesday,Non-Fatal,Other
69,2018-06-06 07:08:00,2018-06-06,-1.2198175,36.8911125,1,0,0,0,0,7,6,2018,Wednesday,Non-Fatal,Other
70,2018-06-06 09:17:00,2018-06-06,-1.264737,36.802079,1,0,0,1,0,9,6,2018,Wednesday,Non-Fatal,Matatu
71,2018-06-06 21:13:00,2018-06-06,-1.406897,36.947256,1,0,0,0,0,21,6,2018,Wednesday,Non-Fatal,Other
72,2018-06-06 21:58:00,2018-06-06,-1.411171,36.951006,1,0,0,0,0,21,6,2018,Wednesday,Non-Fatal,Other
73,2018-06-07 05:43:00,2018-06-07,-1.285105,36.883902,1,0,0,0,0,5,6,2018,Thursday,Non-Fatal,Other
74,2018-06-07 05:55:00,2018-06-07,-1.203801,36.916523,1,0,0,0,0,5,6,2018,Thursday,Non-Fatal,Other
75,2018-06-07 06:31:00,2018-06-07,-1.260699,36.716544,1,0,0,0,0,6,6,2018,Thursday,Non-Fatal,Other
76,2018-06-07 06:50:00,2018-06-07,-1.278127,36.8214565,1,0,0,0,0,6,6,2018,Thursday,Non-Fatal,Other
77,2018-06-07 08:12:00,2018-06-07,-1.364719,36.911405,1,0,0,0,0,8,6,2018,Thursday,Non-Fatal,Other
78,2018-06-07 08:15:00,2018-06-07,-1.3339635,36.779085,1,0,0,0,0,8,6,2018,Thursday,Non-Fatal,Other
79,2018-06-07 14:46:00,2018-06-07,-1.300187,36.7743565,1,0,0,0,0,14,6,2018,Thursday,Non-Fatal,Other
80,2018-06-07 14:48:00,2018-06-07,-1.227037,36.882905,1,0,0,0,0,14,6,2018,Thursday,Non-Fatal,Other
