crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words
76,6/7/2018 6:50,6/7/2018,-1.278127,36.8214565,1,0,0,0,0
77,6/7/2018 8:12,6/7/2018,-1.364719,36.911405,1,0,0,0,0
78,6/7/2018 8:15,6/7/2018,-1.3339635,36.779085,1,0,0,0,0
79,6/7/2018 14:46,6/7/2018,-1.300187,36.7743565,1,0,0,0,0
80,6/7/2018 14:48,6/7/2018,-1.227037,36.882905,1,0,0,0,0
81,6/7/2018 16:29,6/7/2018,-1.372598,36.920491,1,0,0,0,0
82,6/7/2018 18:52,6/7/2018,-1.190474,36.739465,1,0,0,0,0
83,6/7/2018 21:28,6/7/2018,-1.136438,36.97028,1,0,0,0,0
84,6/8/2018 5:17,6/8/2018,-1.525206,37.121076,1,0,0,0,0
85,6/8/2018 6:41,6/8/2018,-1.343014,36.765581,1,0,0,0,0
86,6/8/2018 7:06,6/8/2018,-1.332986,36.80054,1,0,0,0,0
87,6/8/2018 7:28,6/8/2018,-1.039962,37.068619,1,0,0,1,0
88,6/8/2018 7:29,6/8/2018,-1.317394,36.812597,1,0,0,0,0
89,6/8/2018 7:44,6/8/2018,-1.328397,36.800541,1,0,0,0,0
90,6/8/2018 10:43,6/8/2018,-1.260901,36.71664,1,0,0,0,0
91,6/8/2018 11:28,6/8/2018,-1.272665,36.808979,1,0,0,0,0
92,6/8/2018 13:05,6/8/2018,-1.27496,36.818027,1,0,0,0,0
93,6/8/2018 15:30,6/8/2018,-1.492577,37.055126,1,0,0,0,0
94,6/9/2018 8:12,6/9/2018,-1.299726,36.824457,1,0,0,1,0
95,6/9/2018 8:38,6/9/2018,-1.305172,36.754582,1,0,0,0,0
96,6/9/2018 10:54,6/9/2018,-1.292437,36.805122,1,0,0,0,1
97,6/9/2018 11:56,6/9/2018,-1.252175,36.959263,1,0,0,0,0
98,6/9/2018 19:59,6/9/2018,-1.274917,36.823408,1,0,0,0,0
99,6/9/2018 20:15,6/9/2018,-1.307371,36.889824,1,0,1,0,0
100,6/9/2018 20:36,6/9/2018,-1.3228495,36.8990795,1,0,0,0,0
101,6/9/2018 22:34,6/9/2018,-1.259203,36.842383,1,0,0,0,0
102,6/10/2018 2:34,6/10/2018,-1.1711185,36.9725295,1,1,0,0,0
103,6/10/2018 12:21,6/10/2018,-1.300044,36.7872145,1,0,1,0,0
104,6/10/2018 18:02,6/10/2018,-1.206032,36.914291,1,0,0,0,0
105,6/10/2018 18:10,6/10/2018,-1.210347,36.90942,1,0,0,0,0
106,6/10/2018 18:24,6/10/2018,-1.215691,36.895632,1,0,0,0,0
107,6/10/2018 18:59,6/10/2018,-1.131297,36.982169,1,0,0,0,0
108,6/11/2018 9:12,6/11/2018,-1.259459,36.844829,1,0,1,0,0
109,6/11/2018 14:35,6/11/2018,-1.2967465,36.8760185,1,0,0,1,1
110,6/11/2018 18:48,6/11/2018,-1.259999,36.895915,1,0,0,0,0
111,6/12/2018 7:35,6/12/2018,-1.263123,36.838843,1,0,0,0,0
112,6/12/2018 8:06,6/12/2018,-1.299826,36.824192,1,0,0,0,0
113,6/12/2018 14:38,6/12/2018,-1.297632,36.869754,1,0,0,0,1
114,6/12/2018 18:47,6/12/2018,-1.2515222,36.93756,1,0,0,0,0
115,6/12/2018 19:24,6/12/2018,-1.292918,36.820308,1,0,0,0,0
116,6/12/2018 20:43,6/12/2018,-1.177645,36.915433,1,0,0,0,0
117,6/13/2018 6:06,6/13/2018,-1.285249,36.819619,1,0,0,0,0
118,6/13/2018 6:32,6/13/2018,-1.3291645,36.870969,1,0,0,1,0
119,6/13/2018 6:36,6/13/2018,-1.20004,36.920365,1,0,0,0,0
120,6/13/2018 15:44,6/13/2018,-1.32681,36.852673,1,0,0,0,1
121,6/13/2018 16:47,6/13/2018,-1.1217925,37.0067835,1,0,0,0,0
122,6/13/2018 17:22,6/13/2018,-1.130442,36.982174,1,0,0,0,0
123,6/13/2018 19:43,6/13/2018,-1.2854,36.828469,1,0,0,0,0
124,6/13/2018 19:44,6/13/2018,-1.244617,36.867234,1,0,0,0,0
125,6/14/2018 6:59,6/14/2018,-1.2893585,36.785387,1,0,0,0,0
126,6/14/2018 8:55,6/14/2018,-1.2942895,36.8506075,1,1,0,0,0
127,6/14/2018 9:50,6/14/2018,-0.792679,36.52482,1,0,0,0,0
128,6/14/2018 10:32,6/14/2018,-1.2925405,36.789615,1,0,0,0,0
129,6/14/2018 14:58,6/14/2018,-1.2261085,36.8831795,1,0,0,0,0
130,6/14/2018 16:40,6/14/2018,-1.291011,36.82333,1,0,0,0,0
131,6/14/2018 17:50,6/14/2018,-1.248458,36.8633035,1,0,0,0,0
132,6/15/2018 19:51,6/15/2018,-1.234399,36.99005,1,0,0,0,0
133,6/17/2018 9:34,6/17/2018,-1.3193655,36.838268,1,0,0,0,0
134,6/17/2018 23:27,6/17/2018,-1.296765,36.876709,1,0,0,0,1
135,6/19/2018 16:45,6/19/2018,-1.3042055,36.839078,1,0,0,0,1
136,6/19/2018 17:17,6/19/2018,-1.204089,36.9165105,1,0,0,0,0
137,6/19/2018 18:08,6/19/2018,-1.266943,36.809149,1,0,0,0,0
138,6/19/2018 19:36,6/19/2018,-1.172129,36.947516,1,0,0,0,0
139,6/19/2018 20:10,6/19/2018,-1.181013,36.9382305,1,0,1,0,0
140,6/20/2018 7:34,6/20/2018,-1.295375,36.8864,1,0,0,0,0
141,6/20/2018 7:47,6/20/2018,-1.269846,36.807199,1,0,0,0,0
142,6/20/2018 10:45,6/20/2018,-1.326041,36.7937735,1,0,0,0,0
143,6/20/2018 16:04,6/20/2018,-1.372631,36.9215365,1,0,0,0,0
144,6/20/2018 19:21,6/20/2018,-1.2861805,36.8338935,1,0,0,1,0
145,6/20/2018 19:40,6/20/2018,-1.204089,36.9165105,1,0,0,0,0
146,6/21/2018 6:14,6/21/2018,-1.295375,36.8864,1,0,0,0,0
147,6/21/2018 6:25,6/21/2018,-1.252702,36.8592995,1,0,0,0,0
148,6/21/2018 7:18,6/21/2018,-1.248045,36.8640365,1,0,0,0,0
149,6/21/2018 7:40,6/21/2018,-1.244371,36.8669365,1,0,0,0,0
150,6/21/2018 9:22,6/21/2018,-1.283389,36.823544,1,0,0,0,0
151,6/21/2018 15:55,6/21/2018,-1.105047,36.630144,1,0,0,0,0
152,6/21/2018 19:52,6/21/2018,-1.107324,37.015486,1,0,0,0,0
153,6/22/2018 6:15,6/22/2018,-1.2594055,36.844797,1,0,0,0,0
154,6/22/2018 7:39,6/22/2018,-1.3194825,36.897537,1,0,0,0,0
155,6/22/2018 10:43,6/22/2018,-1.3315735,36.888197,1,0,0,0,0
156,6/22/2018 12:52,6/22/2018,-1.04122,37.071924,1,0,0,0,0
157,6/23/2018 6:30,6/23/2018,-1.297096,36.875273,1,0,0,0,0
158,6/23/2018 20:25,6/23/2018,-1.324893,36.846924,1,0,0,0,0
159,6/23/2018 20:27,6/23/2018,-1.024323,37.0670515,1,0,0,0,0
160,6/24/2018 1:25,6/24/2018,-1.304873,36.826523,1,0,0,0,0
161,6/24/2018 1:48,6/24/2018,-1.024323,37.0670515,1,0,0,0,0
162,6/24/2018 12:28,6/24/2018,-1.024331,37.067045,1,0,0,0,0
163,6/24/2018 13:20,6/24/2018,-1.2326965,36.874799,1,0,0,0,0
164,6/24/2018 17:49,6/24/2018,-1.204543,36.916238,1,0,0,0,0
165,6/25/2018 6:46,6/25/2018,-4.030708,39.640127,1,0,0,1,0
166,6/25/2018 9:24,6/25/2018,-1.2205955,36.8887205,1,0,0,0,0
167,6/25/2018 11:38,6/25/2018,-4.029915,39.632612,1,0,0,1,0
168,6/25/2018 16:19,6/25/2018,-1.132897,36.6349645,1,0,0,0,0
169,6/25/2018 18:52,6/25/2018,-1.3194545,36.8382225,1,0,0,0,0
170,6/25/2018 19:00,6/25/2018,-1.2594055,36.844797,1,0,0,0,0
171,6/27/2018 8:24,6/27/2018,-1.040628,36.823518,1,0,0,0,0
172,6/27/2018 9:39,6/27/2018,-3.793191,39.38432,1,0,0,0,0
