crash_id,crash_datetime,crash_date,hour,month,year,day_of_week,latitude,longitude,severity,contains_fatality_words,contains_pedestrian_words,contains_motorcycle_words,contains_matatu_words,road_user_type,n_crash_reports
47,2018-06-03 18:14:00,2018-06-03,18,6,2018,Sunday,-1.2693285,36.805776,Non-Fatal,0,0,0,0,Other,1
48,2018-06-03 20:14:00,2018-06-03,20,6,2018,Sunday,-1.364719,36.911405,Non-Fatal,0,0,0,0,Other,1
49,2018-06-03 22:15:00,2018-06-03,22,6,2018,Sunday,-1.097772,36.627076,Non-Fatal,0,0,0,0,Other,1
50,2018-06-04 01:54:00,2018-06-04,1,6,2018,Monday,-1.355691,36.657324,Non-Fatal,0,0,0,0,Other,1
51,2018-06-04 01:55:00,2018-06-04,1,6,2018,Monday,-1.217267,36.8929095,Non-Fatal,0,0,0,0,Other,1
52,2018-06-04 05:45:00,2018-06-04,5,6,2018,Monday,-1.396243,36.745543,Non-Fatal,0,0,0,0,Other,1
53,2018-06-04 06:54:00,2018-06-04,6,6,2018,Monday,-1.29374,36.795907,Non-Fatal,0,0,1,0,Motorcycle,1
54,2018-06-04 11:32:00,2018-06-04,11,6,2018,Monday,-1.2612255,36.8739765,Non-Fatal,0,0,0,1,Matatu,1
55,2018-06-04 12:23:00,2018-06-04,12,6,2018,Monday,-1.148514,36.961087,Non-Fatal,0,0,0,0,Other,1
56,2018-06-04 14:29:00,2018-06-04,14,6,2018,Monday,-1.278919,36.784299,Non-Fatal,0,0,0,0,Other,1
57,2018-06-04 15:23:00,2018-06-04,15,6,2018,Monday,-1.12422,37.003608,Non-Fatal,0,0,0,0,Other,1
58,2018-06-04 17:45:00,2018-06-04,17,6,2018,Monday,-1.266667,36.834423,Non-Fatal,0,0,0,0,Other,1
59,2018-06-05 07:36:00,2018-06-05,7,6,2018,Tuesday,-1.324801,36.8481885,Non-Fatal,0,0,0,0,Other,1
60,2018-06-05 11:50:00,2018-06-05,11,6,2018,Tuesday,-1.153175,36.961002,Non-Fatal,0,0,0,0,Other,1
61,2018-06-05 15:26:00,2018-06-05,15,6,2018,Tuesday,-1.3249405,36.848489,Non-Fatal,0,0,0,0,Other,1
62,2018-06-05 17:06:00,2018-06-05,17,6,2018,Tuesday,-1.280817,36.816967,Non-Fatal,0,0,0,0,Other,1
63,2018-06-05 18:59:00,2018-06-05,18,6,2018,Tuesday,-1.297165,36.875237,Non-Fatal,0,0,0,0,Other,1
64,2018-06-05 19:13:00,2018-06-05,19,6,2018,Tuesday,-1.210473,36.7894545,Non-Fatal,0,0,0,0,Other,1
65,2018-06-05 20:23:00,2018-06-05,20,6,2018,Tuesday,-1.245244,36.7695612,Non-Fatal,0,0,0,0,Other,1
66,2018-06-05 21:26:00,2018-06-05,21,6,2018,Tuesday,-1.287058,36.836512,Non-Fatal,0,0,0,0,Other,1
67,2018-06-05 23:10:00,2018-06-05,23,6,2018,Tuesday,-1.181702,36.9373895,Fatal,1,0,0,0,Other,1
68,2018-06-06 03:33:00,2018-06-06,3,6,2018,Wednesday,-1.2631,36.979394,Non-Fatal,0,0,0,0,Other,1
69,2018-06-06 07:08:00,2018-06-06,7,6,2018,Wednesday,-1.2198175,36.8911125,Non-Fatal,0,0,0,0,Other,1
70,2018-06-06 09:17:00,2018-06-06,9,6,2018,Wednesday,-1.264737,36.802079,Non-Fatal,0,0,0,1,Matatu,1
71,2018-06-06 21:13:00,2018-06-06,21,6,2018,Wednesday,-1.406897,36.947256,Non-Fatal,0,0,0,0,Other,1
72,2018-06-06 21:58:00,2018-06-06,21,6,2018,Wednesday,-1.411171,36.951006,Non-Fatal,0,0,0,0,Other,1
73,2018-06-07 05:43:00,2018-06-07,5,6,2018,Thursday,-1.285105,36.883902,Non-Fatal,0,0,0,0,Other,1
74,2018-06-07 05:55:00,2018-06-07,5,6,2018,Thursday,-1.203801,36.916523,Non-Fatal,0,0,0,0,Other,1
